Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCA_003470175.1	ASM347017v1	Thomasclavelia ramosa		AM25-30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSLK01	64	99.37	
GCF_003470175.1	ASM347017v1	Thomasclavelia ramosa		AM25-30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSLK01	64	99.37	
GCA_003470215.1	ASM347021v1	Lachnospira eligens		AM32-2AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSIS01	55	78.19	16.59
GCF_003470215.1	ASM347021v1	Lachnospira eligens		AM32-2AC					GCF_003470215.1-RS_2025_02_27	Scaffold	2018-09-06	QSIS01	55	78.19	16.59
GCA_003467705.1	ASM346770v1	Lachnospira eligens		AM37-3BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSHM01	51	77.82	14.68
GCF_003467705.1	ASM346770v1	Lachnospira eligens		AM37-3BH					GCF_003467705.1-RS_2025_02_27	Scaffold	2018-09-06	QSHM01	51	77.82	14.68
GCA_003467635.1	ASM346763v1	Thomasclavelia ramosa		AM38-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSHI01	45	99.37	
GCF_003467635.1	ASM346763v1	Thomasclavelia ramosa		AM38-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSHI01	45	99.37	
GCA_003457805.1	ASM345780v1	Thomasclavelia ramosa		AF28-24B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRTD01	65	99.37	
GCF_003457805.1	ASM345780v1	Thomasclavelia ramosa		AF28-24B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRTD01	65	99.37	
GCA_003434415.1	ASM343441v1	Thomasclavelia ramosa		AM21-17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QUSJ01	120	99.37	0.31
GCF_003434415.1	ASM343441v1	Thomasclavelia ramosa		AM21-17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QUSJ01	120	99.37	0.31
GCA_003457945.1	ASM345794v1	Thomasclavelia ramosa		AF28-13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRTG01	58	99.37	
GCF_003457945.1	ASM345794v1	Thomasclavelia ramosa		AF28-13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRTG01	58	99.37	
GCA_003435475.1	ASM343547v1	Thomasclavelia ramosa		OM06-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QUSL01	141	99.37	
GCF_003435475.1	ASM343547v1	Thomasclavelia ramosa		OM06-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QUSL01	141	99.37	
GCA_003459445.1	ASM345944v1	Thomasclavelia ramosa		AF20-7LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRWA01	98	99.37	
GCF_003459445.1	ASM345944v1	Thomasclavelia ramosa		AF20-7LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRWA01	98	99.37	
GCA_003459645.1	ASM345964v1	Thomasclavelia ramosa		AF19-21AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRWM01	78	99.37	
GCF_003459645.1	ASM345964v1	Thomasclavelia ramosa		AF19-21AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRWM01	78	99.37	
GCA_003473445.1	ASM347344v1	Lachnospira eligens		AF42-3BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRNP01	162	77.36	13.69
GCF_003473445.1	ASM347344v1	Lachnospira eligens		AF42-3BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRNP01	162	77.36	13.69
GCA_003473385.1	ASM347338v1	Anaerobutyricum hallii		AF45-14BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-09-06	QRNJ01		92.83	1.55
GCF_003473385.1	ASM347338v1	Anaerobutyricum hallii		AF45-14BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-09-06	QRNJ01		92.83	1.55
GCA_003475545.1	ASM347554v1	Anaerobutyricum hallii		AF31-17AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRQO01	133	98.12	1.86
GCF_003475545.1	ASM347554v1	Anaerobutyricum hallii		AF31-17AC					GCF_003475545.1-RS_2025_02_27	Scaffold	2018-09-06	QRQO01	133	98.12	1.86
GCA_003473405.1	ASM347340v1	Lachnospira eligens		AF45-13BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRNK01	223	73.95	12.11
GCF_003473405.1	ASM347340v1	Lachnospira eligens		AF45-13BH					GCF_003473405.1-RS_2025_02_27	Scaffold	2018-09-06	QRNK01	223	73.95	12.11
GCA_003466615.1	ASM346661v1	Anaerobutyricum hallii		AM48-23BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-09-06	QSEP01		89.94	1.41
GCF_003466615.1	ASM346661v1	Anaerobutyricum hallii		AM48-23BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-09-06	QSEP01		89.94	1.41
GCA_003466185.1	ASM346618v1	Anaerobutyricum hallii		TM10-1AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-08-31	QSOE01		92.32	2.49
GCF_003466185.1	ASM346618v1	Anaerobutyricum hallii		TM10-1AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-08-31	QSOE01		92.32	2.49
GCA_003467215.1	ASM346721v1	Phocaeicola coprophilus		AM42-38					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSFT01	81	100	0.35
GCF_003467215.1	ASM346721v1	Phocaeicola coprophilus		AM42-38					GCF_003467215.1-RS_2024_09_17	Scaffold	2018-09-06	QSFT01	81	100	0.35
GCA_003437625.1	ASM343762v1	Prevotella disiens		TF09-12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRD01	313	86.49	0.12
GCF_003437625.1	ASM343762v1	Prevotella disiens		TF09-12					GCF_003437625.1-RS_2024_09_17	Scaffold	2018-08-31	QSRD01	313	86.49	0.12
GCA_003472745.1	ASM347274v1	Emergencia timonensis		AM07-24					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRMS01	16	97.95	
GCF_003472745.1	ASM347274v1	Emergencia timonensis		AM07-24					GCF_003472745.1-RS_2025_02_27	Scaffold	2018-09-06	QRMS01	16	97.95	
GCA_003435385.1	ASM343538v1	Anaerofustis stercorihominis		AM25-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QUSM01	11	99.29	
GCF_003435385.1	ASM343538v1	Anaerofustis stercorihominis		AM25-6					GCF_003435385.1-RS_2024_04_12	Scaffold	2018-08-31	QUSM01	11	99.29	
GCA_003470285.1	ASM347028v1	Fusobacterium mortiferum		AM25-18LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRHI01	38	98.65	0.6
GCF_003470285.1	ASM347028v1	Fusobacterium mortiferum		AM25-18LB					GCF_003470285.1-RS_2024_10_11	Scaffold	2018-09-06	QRHI01	38	98.65	0.6
GCA_003475685.1	ASM347568v1	Butyricimonas virosa		AF34-33					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRPV01	75	93.82	1.58
GCF_003475685.1	ASM347568v1	Butyricimonas virosa		AF34-33					GCF_003475685.1-RS_2024_09_18	Scaffold	2018-09-06	QRPV01	75	93.82	1.58
GCA_003434235.1	ASM343423v1	Coprococcus catus		AM28-39					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QVFD01	43	82.48	22.91
GCF_003434235.1	ASM343423v1	Coprococcus catus		AM28-39					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QVFD01	43	82.48	22.91
GCA_003437885.1	ASM343788v1	Butyricimonas virosa		TF05-17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSSO01	83	94.92	3.27
GCF_003437885.1	ASM343788v1	Butyricimonas virosa		TF05-17					GCF_003437885.1-RS_2024_09_17	Scaffold	2018-08-31	QSSO01	83	94.92	3.27
GCA_003463365.1	ASM346336v1	Bacteroides stercorirosoris		OF03-9BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSCF01	154	84.75	0.47
GCF_003463365.1	ASM346336v1	Bacteroides stercorirosoris		OF03-9BH					GCF_003463365.1-RS_2024_09_17	Scaffold	2018-09-06	QSCF01	154	84.75	0.47
GCA_003471965.1	ASM347196v1	Butyricimonas virosa		AM16-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRKM01	95	95.5	2.34
GCF_003471965.1	ASM347196v1	Butyricimonas virosa		AM16-14					GCF_003471965.1-RS_2024_09_17	Scaffold	2018-09-06	QRKM01	95	95.5	2.34
GCA_003464505.1	ASM346450v1	Butyricimonas virosa		AF14-49					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRZA01	139	95.54	4.18
GCF_003464505.1	ASM346450v1	Butyricimonas virosa		AF14-49					GCF_003464505.1-RS_2025_01_08	Scaffold	2018-09-06	QRZA01	139	95.54	4.18
GCA_003439355.1	ASM343935v1	Coprobacillus cateniformis		OM02-34					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSVJ01	85	98.44	0.97
GCF_003439355.1	ASM343935v1	Coprobacillus cateniformis		OM02-34					GCF_003439355.1-RS_2024_03_29	Scaffold	2018-08-31	QSVJ01	85	98.44	0.97
GCA_003438345.1	ASM343834v1	Fusobacterium mortiferum		OM06-15BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSTZ01	50	98.65	0.48
GCF_003438345.1	ASM343834v1	Fusobacterium mortiferum		OM06-15BH					GCF_003438345.1-RS_2024_10_11	Scaffold	2018-08-31	QSTZ01	50	98.65	0.48
GCA_003463145.1	ASM346314v1	Butyricimonas virosa		OF02-7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSCR01	99	95.26	2.66
GCF_003463145.1	ASM346314v1	Butyricimonas virosa		OF02-7					GCF_003463145.1-RS_2024_09_17	Scaffold	2018-09-06	QSCR01	99	95.26	2.66
GCA_003439335.1	ASM343933v1	Coprobacillus cateniformis		OM02-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSVG01	85	98.44	0.93
GCF_003439335.1	ASM343933v1	Coprobacillus cateniformis		OM02-5					GCF_003439335.1-RS_2024_03_29	Scaffold	2018-08-31	QSVG01	85	98.44	0.93
GCA_003463235.1	ASM346323v1	Coprobacillus cateniformis		OF01-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSCY01	91	99.05	0.95
GCF_003463235.1	ASM346323v1	Coprobacillus cateniformis		OF01-6					GCF_003463235.1-RS_2024_03_29	Scaffold	2018-09-06	QSCY01	91	99.05	0.95
GCA_003470805.1	ASM347080v1	Fusobacterium mortiferum		AM25-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRHL01	63	99.13	0.56
GCF_003470805.1	ASM347080v1	Fusobacterium mortiferum		AM25-1					GCF_003470805.1-RS_2024_10_11	Scaffold	2018-09-06	QRHL01	63	99.13	0.56
GCA_003464345.1	ASM346434v1	Holdemanella biformis		AF15-20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRYQ01	69	96.94	0.69
GCF_003464345.1	ASM346434v1	Holdemanella biformis		AF15-20					GCF_003464345.1-RS_2024_09_17	Scaffold	2018-09-06	QRYQ01	69	96.94	0.69
GCA_003465865.1	ASM346586v1	Holdemanella biformis		AF10-31					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSAT01	105	96.94	1.02
GCF_003465865.1	ASM346586v1	Holdemanella biformis		AF10-31					GCF_003465865.1-RS_2024_09_17	Scaffold	2018-09-06	QSAT01	105	96.94	1.02
GCA_003468025.1	ASM346802v1	Holdemanella biformis		AM42-13AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSGD01	145	96.94	1.34
GCF_003468025.1	ASM346802v1	Holdemanella biformis		AM42-13AC					GCF_003468025.1-RS_2024_09_17	Scaffold	2018-09-06	QSGD01	145	96.94	1.34
GCA_003459285.1	ASM345928v1	Holdemanella biformis		AF22-10AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-09-05	QRVM01		93.48	1.36
GCF_003459285.1	ASM345928v1	Holdemanella biformis		AF22-10AC					GCF_003459285.1-RS_2024_09_17	Contig	2018-09-05	QRVM01		93.48	1.36
GCA_003474305.1	ASM347430v1	Phocaeicola plebeius		AF39-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QROI01	76	100	0.71
GCF_003474305.1	ASM347430v1	Phocaeicola plebeius		AF39-11					GCF_003474305.1-RS_2025_01_08	Scaffold	2018-09-06	QROI01	76	100	0.71
GCA_003474535.1	ASM347453v1	Phocaeicola plebeius		AF39-5AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QROD01	80	100	0.71
GCF_003474535.1	ASM347453v1	Phocaeicola plebeius		AF39-5AC					GCF_003474535.1-RS_2024_12_18	Scaffold	2018-09-06	QROD01	80	100	0.71
GCA_003437535.1	ASM343753v1	Phocaeicola plebeius		TF10-3AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSQT01	71	99.82	0.35
GCF_003437535.1	ASM343753v1	Phocaeicola plebeius		TF10-3AC					GCF_003437535.1-RS_2024_12_17	Scaffold	2018-08-31	QSQT01	71	99.82	0.35
GCA_003438305.1	ASM343830v1	Phocaeicola plebeius		OM06-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSTW01	63	100	1.42
GCF_003438305.1	ASM343830v1	Phocaeicola plebeius		OM06-2					GCF_003438305.1-RS_2024_12_18	Scaffold	2018-08-31	QSTW01	63	100	1.42
GCA_003467165.1	ASM346716v1	Phocaeicola plebeius		AM43-9BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSFG01	67	99.82	0.71
GCF_003467165.1	ASM346716v1	Phocaeicola plebeius		AM43-9BH					GCF_003467165.1-RS_2024_12_17	Scaffold	2018-09-06	QSFG01	67	99.82	0.71
GCA_003466905.1	ASM346690v1	Phocaeicola plebeius		AM43-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSFI01	77	99.82	0.71
GCF_003466905.1	ASM346690v1	Phocaeicola plebeius		AM43-8					GCF_003466905.1-RS_2024_12_17	Scaffold	2018-09-06	QSFI01	77	99.82	0.71
GCA_003457865.1	ASM345786v1	Phocaeicola plebeius		AF27-30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRTL01	72	99.82	0.35
GCF_003457865.1	ASM345786v1	Phocaeicola plebeius		AF27-30					GCF_003457865.1-RS_2024_12_18	Scaffold	2018-09-05	QRTL01	72	99.82	0.35
GCA_003475445.1	ASM347544v1	Phocaeicola plebeius		AF31-28B-AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRQK01	94	99.82	0.71
GCF_003475445.1	ASM347544v1	Phocaeicola plebeius		AF31-28B-AC					GCF_003475445.1-RS_2024_12_18	Scaffold	2018-09-06	QRQK01	94	99.82	0.71
GCA_003469295.1	ASM346929v1	Phocaeicola plebeius		AM31-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSJG01	82	99.88	1.06
GCF_003469295.1	ASM346929v1	Phocaeicola plebeius		AM31-10					GCF_003469295.1-RS_2024_12_17	Scaffold	2018-09-06	QSJG01	82	99.88	1.06
GCA_003470365.1	ASM347036v1	Phocaeicola plebeius		AM23-23					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRHQ01	102	99.82	0.83
GCF_003470365.1	ASM347036v1	Phocaeicola plebeius		AM23-23					GCF_003470365.1-RS_2024_12_17	Scaffold	2018-09-06	QRHQ01	102	99.82	0.83
GCA_003458915.1	ASM345891v1	Phocaeicola plebeius		AF27-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRTR01	84	99.82	0.35
GCF_003458915.1	ASM345891v1	Phocaeicola plebeius		AF27-1					GCF_003458915.1-RS_2024_12_17	Scaffold	2018-09-05	QRTR01	84	99.82	0.35
GCA_003458595.1	ASM345859v1	Phocaeicola plebeius		AF24-16AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRUY01	96	99.47	0.83
GCF_003458595.1	ASM345859v1	Phocaeicola plebeius		AF24-16AC					GCF_003458595.1-RS_2024_12_17	Scaffold	2018-09-05	QRUY01	96	99.47	0.83
GCA_003471645.1	ASM347164v1	Phocaeicola plebeius		AM17-44					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRJS01	88	100	1.15
GCF_003471645.1	ASM347164v1	Phocaeicola plebeius		AM17-44					GCF_003471645.1-RS_2024_12_18	Scaffold	2018-09-06	QRJS01	88	100	1.15
GCA_003459155.1	ASM345915v1	Phocaeicola plebeius		AF24-20AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRUT01	86	99.47	0.83
GCF_003459155.1	ASM345915v1	Phocaeicola plebeius		AF24-20AC					GCF_003459155.1-RS_2024_12_18	Scaffold	2018-09-05	QRUT01	86	99.47	0.83
GCA_003472665.1	ASM347266v1	Phocaeicola plebeius		AM09-36					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRML01	81	99.82	0.83
GCF_003472665.1	ASM347266v1	Phocaeicola plebeius		AM09-36					GCF_003472665.1-RS_2024_12_17	Scaffold	2018-09-06	QRML01	81	99.82	0.83
GCA_003472625.1	ASM347262v1	[Ruminococcus] lactaris		AM09-9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRMI01	98	99.38	
GCF_003472625.1	ASM347262v1	[Ruminococcus] lactaris		AM09-9					GCF_003472625.1-RS_2025_02_27	Scaffold	2018-09-06	QRMI01	98	99.38	
GCA_003470775.1	ASM347077v1	[Ruminococcus] lactaris		AM25-1LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRHG01	101	99.38	0.21
GCF_003470775.1	ASM347077v1	[Ruminococcus] lactaris		AM25-1LB					GCF_003470775.1-RS_2025_02_27	Scaffold	2018-09-06	QRHG01	101	99.38	0.21
GCA_003436725.1	ASM343672v1	[Ruminococcus] lactaris		TF11-7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSQN01	86	99.38	
GCF_003436725.1	ASM343672v1	[Ruminococcus] lactaris		TF11-7					GCF_003436725.1-RS_2025_02_27	Scaffold	2018-08-31	QSQN01	86	99.38	
GCA_003438135.1	ASM343813v1	Phocaeicola plebeius		OM08-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSTF01	140	99.82	0.83
GCF_003438135.1	ASM343813v1	Phocaeicola plebeius		OM08-14					GCF_003438135.1-RS_2024_12_18	Scaffold	2018-08-31	QSTF01	140	99.82	0.83
GCA_003458565.1	ASM345856v1	Phocaeicola coprocola		AF24-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRUU01	166	100	
GCF_003458565.1	ASM345856v1	Phocaeicola coprocola		AF24-2					GCF_003458565.1-RS_2025_01_08	Scaffold	2018-09-05	QRUU01	166	100	
GCA_003474925.1	ASM347492v1	Amedibacillus dolichus		AF35-6BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRPK01	189	92.99	0.63
GCF_003474925.1	ASM347492v1	Amedibacillus dolichus		AF35-6BH					GCF_003474925.1-RS_2024_09_18	Scaffold	2018-09-06	QRPK01	189	92.99	0.63
GCA_003467385.1	ASM346738v1	Enterocloster aldenensis		AM40-2AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSGP01	30	98.75	9.98
GCF_003467385.1	ASM346738v1	Enterocloster aldenensis		AM40-2AC					GCF_003467385.1-RS_2024_07_07	Scaffold	2018-09-06	QSGP01	30	98.75	9.98
GCA_003434055.1	ASM343405v1	Enterocloster aldenensis		AF19-9LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QVEX01	61	98.12	4.24
GCF_003434055.1	ASM343405v1	Enterocloster aldenensis		AF19-9LB					GCF_003434055.1-RS_2024_12_22	Scaffold	2018-08-31	QVEX01	61	98.12	4.24
GCA_003469765.1	ASM346976v1	Collinsella intestinalis		AM25-33					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSLJ01	4	85.13	2.05
GCF_003469765.1	ASM346976v1	Collinsella intestinalis		AM25-33					GCF_003469765.1-RS_2024_11_06	Scaffold	2018-09-06	QSLJ01	4	85.13	2.05
GCA_003468845.1	ASM346884v1	Collinsella intestinalis		AM30-5LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSJI01	18	88.27	2.38
GCF_003468845.1	ASM346884v1	Collinsella intestinalis		AM30-5LB					GCF_003468845.1-RS_2024_09_17	Scaffold	2018-09-06	QSJI01	18	88.27	2.38
GCA_003438445.1	ASM343844v1	Bacteroides oleiciplenus		OM05-15BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSUL01	53	100	
GCF_003438445.1	ASM343844v1	Bacteroides oleiciplenus		OM05-15BH					GCF_003438445.1-RS_2024_09_17	Scaffold	2018-08-31	QSUL01	53	100	
GCA_003465335.1	ASM346533v1	Enterococcus asini		AF13-3-H					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRZW01	30	81.68	2.16
GCF_003465335.1	ASM346533v1	Enterococcus asini		AF13-3-H					GCF_003465335.1-RS_2024_09_17	Scaffold	2018-09-06	QRZW01	30	81.68	2.16
GCA_003470845.1	ASM347084v1	Eubacterium ventriosum		AM23-22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRHR01	22	99.36	0.64
GCF_003470845.1	ASM347084v1	Eubacterium ventriosum		AM23-22					GCF_003470845.1-RS_2024_04_14	Scaffold	2018-09-06	QRHR01	22	99.36	0.64
GCA_003468105.1	ASM346810v1	Eubacterium ventriosum		AM40-7BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSGJ01	20	99.36	1.27
GCF_003468105.1	ASM346810v1	Eubacterium ventriosum		AM40-7BH					GCF_003468105.1-RS_2024_04_14	Scaffold	2018-09-06	QSGJ01	20	99.36	1.27
GCA_003466845.1	ASM346684v1	Eubacterium ventriosum		AM44-11BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSFD01	25	99.36	0.64
GCF_003466845.1	ASM346684v1	Eubacterium ventriosum		AM44-11BH					GCF_003466845.1-RS_2024_04_12	Scaffold	2018-09-06	QSFD01	25	99.36	0.64
GCA_003470225.1	ASM347022v1	Mitsuokella multacida		AM25-21AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRHE01	24	100	
GCF_003470225.1	ASM347022v1	Mitsuokella multacida		AM25-21AC					GCF_003470225.1-RS_2024_09_17	Scaffold	2018-09-06	QRHE01	24	100	
GCA_003467015.1	ASM346701v1	Eubacterium ventriosum		AM43-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSFO01	31	99.36	0.64
GCF_003467015.1	ASM346701v1	Eubacterium ventriosum		AM43-2					GCF_003467015.1-RS_2024_04_12	Scaffold	2018-09-06	QSFO01	31	99.36	0.64
GCA_003466005.1	ASM346600v1	Enterocloster asparagiformis		AF04-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSBM01	47	98.68	5.07
GCF_003466005.1	ASM346600v1	Enterocloster asparagiformis		AF04-15					GCF_003466005.1-RS_2025_02_27	Scaffold	2018-09-06	QSBM01	47	98.68	5.07
GCA_003436995.1	ASM343699v1	Collinsella tanakaei		TF08-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSRJ01	33	95.07	3.57
GCF_003436995.1	ASM343699v1	Collinsella tanakaei		TF08-14					GCF_003436995.1-RS_2024_09_17	Scaffold	2018-08-31	QSRJ01	33	95.07	3.57
GCA_003435515.1	ASM343551v1	Anaerotruncus colihominis		TF05-12AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QVME01	21	99.38	0.62
GCF_003435515.1	ASM343551v1	Anaerotruncus colihominis		TF05-12AC					GCF_003435515.1-RS_2024_04_12	Scaffold	2018-08-31	QVME01	21	99.38	0.62
GCA_003457635.1	ASM345763v1	Megamonas rupellensis		AF29-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRST01	65	98.79	4.66
GCF_003457635.1	ASM345763v1	Megamonas rupellensis		AF29-2					GCF_003457635.1-RS_2024_09_17	Scaffold	2018-09-05	QRST01	65	98.79	4.66
GCA_003463295.1	ASM346329v1	Fusobacterium ulcerans		OF01-15LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QSDE01	81	99.37	2.24
GCF_003463295.1	ASM346329v1	Fusobacterium ulcerans		OF01-15LB					GCF_003463295.1-RS_2024_10_12	Scaffold	2018-09-06	QSDE01	81	99.37	2.24
GCA_003435415.1	ASM343541v1	Faecalicoccus pleomorphus		TF08-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QUSK01	66	97.2	1.08
GCF_003435415.1	ASM343541v1	Faecalicoccus pleomorphus		TF08-11					GCF_003435415.1-RS_2024_11_06	Scaffold	2018-08-31	QUSK01	66	97.2	1.08
GCA_003439315.1	ASM343931v1	Megamonas rupellensis		OM02-7LB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QSVE01	57	98.03	1.11
GCF_003439315.1	ASM343931v1	Megamonas rupellensis		OM02-7LB					GCF_003439315.1-RS_2024_09_17	Scaffold	2018-08-31	QSVE01	57	98.03	1.11
